"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"d5bf4792-4390-4daa-aad4-d22d60abf55c",57,"H","M",12159,12159,"Y","S",1,"C","S","EGW","M","HSB","Y",0,22,18,"H",20,72,0,"N"
"8b647063-9518-406b-a54c-399d1cb646d3",42,"D","M",16538,41345,"Y","M",2,"C","M","HAC","H","HSB","Y",1331,4,25,"M",10,32,1,"N"
"8b1135a7-8967-44be-8ec7-8c321543995c",53,"B","M",12542,31355,"Y","M",1,"P","P","IMT","M","BQL","Y",5648,8,24,"L",10,45,1,"Y"
"5732c4a5-768e-4d10-9b64-e8a30b29db38",20,"B","M",4395,9669,"N","S",1,"C","P","THR","L","SUN","N",354,28,15,"H",10,82,1,"N"
"0a47e696-1f45-4ff7-a7b8-61ab56742652",30,"B","F",9607,21135,"Y","O",3,"C","S","CON","M","CBU","N",480,11,7,"H",10,3,1,"N"
"b135d786-eafc-4c4f-9de2-2208f1412499",22,"D","M",4499,4499,"N","S",1,"P","P","EGW","H","SUN","N",450,5,56,"H",10,47,1,"N"
"1e03ca0e-6879-4ad6-aa6e-27ea5611804d",55,"D","M",7713,16969,"N","S",4,"C","M","FSS","L","CBA","N",0,6,20,"H",0,51,0,"N"
"376c052a-9067-4a93-89c1-e8cb2bc9401c",50,"M","M",16480,16480,"Y","O",8,"C","M","FSS","H","SUN","Y",3296,10,36,"L",10,68,1,"Y"
"5b6a939b-9e0d-438b-aed4-1f3b41d48ae8",24,"M","M",5714,5714,"N","O",8,"P","M","MAN","L","SUN","N",286,6,22,"H",10,2,1,"N"
"99be5b0a-bff2-4a97-b076-c87309b2bfe3",22,"H","F",4850,4850,"N","S",1,"P","P","WHT","L","CBU","Y",485,27,49,"H",10,95,1,"N"
"8015d0e7-6279-4e2e-8166-f70d25248b2e",50,"B","F",13735,34338,"Y","O",8,"C","P","HAC","M","MLC","N",0,20,36,"H",0,43,0,"N"
"5b31fa65-c22b-4005-a0c5-7b2f1977b182",31,"P","M",7280,12376,"N","M",1,"C","M","THR","L","SUN","N",586,20,27,"H",10,85,1,"N"
"6803b147-867e-488f-8b4b-1772719a2b19",47,"H","F",11298,24856,"Y","M",6,"P","P","WHT","M","MEB","Y",2599,7,15,"L",10,100,1,"Y"
"9ba35af7-d193-4137-a2e8-1bc719c4dcc7",40,"B","F",10530,26325,"Y","O",0,"C","P","EGW","M","MLC","N",527,25,40,"H",10,59,1,"N"
"e51c711a-1637-45b0-ac57-bfa46759e0cf",24,"H","M",4436,8872,"Y","O",1,"P","S","AFF","L","BQL","N",444,15,17,"H",10,21,1,"N"
"d3451d65-575e-4b52-928c-c323b79ffc56",26,"M","F",4098,4098,"N","S",1,"P","M","HAC","L","FLY","N",410,21,52,"H",10,92,1,"N"
"ace6d7db-4faf-4927-baac-3e4551d185b1",44,"B","F",10867,10867,"Y","S",1,"P","P","THR","M","AMEX","Y",2173,24,46,"L",10,49,1,"Y"
"bd9940b0-78ff-4308-bbdc-b4d810866215",36,"D","M",9809,24523,"N","M",7,"C","P","HOS","L","CSE","Y",1579,19,10,"M",10,30,1,"N"
"65c3a64e-3469-4d33-804a-5cce50df8289",53,"M","M",15520,34144,"Y","S",8,"P","S","HOS","H","NAB","Y",0,29,5,"H",0,98,0,"N"
"c99a3c42-7d9e-42c3-9e75-12558a3e7701",22,"D","F",5100,10200,"N","O",1,"P","M","WHT","L","BBL","N",510,11,3,"H",10,0,1,"N"
"d021b748-7a23-44b2-82c3-c7480e9d7812",23,"D","M",5702,5702,"N","O",1,"P","P","HAC","L","ING","N",570,8,48,"H",10,92,1,"N"
"57b7dbf2-8b7f-4a98-bb98-e4ebb6a797bf",44,"H","M",14464,14464,"Y","O",4,"C","M","FSS","M","HSB","Y",723,26,12,"H",10,50,1,"N"
"c012b188-b5e6-4f9b-ac22-695c1c8616e6",31,"H","M",8055,8055,"N","O",4,"C","S","WHT","L","BOM","N",806,22,5,"M",10,18,1,"N"
"5da5378a-1e8a-4193-86c8-f21b3cded6b1",39,"B","F",7634,7634,"N","S",1,"P","S","WHT","L","UBS","N",382,11,10,"H",10,12,5,"N"
"4d7f44f7-ce88-4d47-a13b-b11390ca5e69",50,"P","M",19145,19145,"Y","O",8,"P","S","EDU","H","CSE","Y",3829,25,31,"L",10,81,1,"Y"
"94589b67-9bfa-4810-9647-b45e2df9bc1a",56,"D","F",10539,26348,"Y","O",2,"C","P","TNT","M","HPL","N",1581,5,56,"M",10,57,1,"N"
"c82d502d-e4dc-4745-8cfc-3eae2bdcc197",25,"B","M",4763,9526,"N","S",7,"P","S","FSS","L","VFL","N",0,30,19,"H",0,3,0,"N"
"12711445-bc37-48a2-9ace-240757092348",49,"M","M",13990,25182,"N","O",4,"P","S","HOS","M","VFL","N",2798,17,56,"M",10,37,1,"N"
"b69a64a0-507b-4099-9f3f-7a6d47932aac",47,"P","F",11968,29920,"Y","M",7,"C","P","TNT","L","RAMS","Y",2753,28,55,"L",10,52,1,"Y"
"98d5ff64-04bf-46f2-ad94-2fbc42c889d6",43,"B","F",12151,12151,"Y","S",1,"C","P","IMT","M","CBA","N",1823,13,3,"M",10,63,1,"N"
"76bb086f-7aea-4ffa-ad65-b663e686337a",34,"M","M",8244,8244,"N","S",1,"P","M","EDU","M","BQL","N",0,22,17,"H",10,61,0,"N"
"887a76e1-e88c-4a44-8f80-17910311cb35",40,"P","F",18716,18716,"Y","S",1,"P","P","THR","H","HAS","Y",936,27,45,"M",10,11,1,"N"
"1b71595f-d8ad-442c-b87e-d9adad4bae9c",49,"D","F",9621,9621,"Y","S",1,"C","M","HAC","M","FMC","Y",1924,3,55,"M",10,15,1,"N"
"b2f3a3b9-bc42-4cbc-8905-a7b5b1befc27",55,"M","F",12406,31015,"Y","O",5,"P","M","EDU","H","CUA","Y",2481,20,58,"L",10,42,1,"Y"
"b7463cea-4456-4935-9ffd-e06cc04fb231",46,"D","F",14229,35573,"Y","O",2,"C","S","TNT","H","AMPS","Y",2846,27,40,"L",10,50,1,"Y"
"ee4de2d6-c03e-4cb2-aa15-2ee1ab84108d",22,"D","M",5832,5832,"Y","S",1,"C","P","EDU","L","WST","N",583,25,48,"H",10,35,1,"N"
"0c326c8c-9f7c-4cce-8fa3-5526c891a0d1",24,"B","M",5388,5388,"N","S",1,"C","M","EDU","L","IOOF","Y",269,3,33,"H",10,79,1,"N"
"7d31648d-4002-4761-80ba-dfe6962aa527",43,"M","F",18865,47163,"Y","M",4,"P","P","WHT","H","AMPS","N",1084,7,49,"M",10,71,1,"N"
"886dd344-538d-47ab-8192-418bf116dcb9",47,"M","M",14631,14631,"Y","S",1,"C","P","FSS","M","ING","N",2926,22,53,"L",10,88,1,"Y"
"13db6fb7-84d8-407a-b325-eeeb7c47b282",35,"M","F",7657,16845,"N","S",5,"C","M","WHT","L","CBA","N",0,14,43,"H",0,22,0,"N"
"92178399-4587-4c35-8143-4a01e04e51b0",30,"D","M",9742,9742,"N","S",1,"C","M","IMT","M","BOM","Y",487,12,15,"H",10,10,1,"N"
"5b28e5ea-a233-4072-9843-bcfc93495c83",35,"M","M",9418,9418,"N","S",1,"P","P","TNT","M","WBC","N",471,20,21,"H",10,65,1,"N"
"1d9cb046-0ae7-417d-baa3-a10a182e0f13",20,"M","F",4862,10696,"Y","M",2,"C","P","RET","L","PSP","N",968,27,5,"H",10,51,1,"N"
"39af3f64-617c-4160-ab5c-99bc8a4965c3",49,"H","M",16133,16133,"Y","O",3,"C","M","HAC","H","CSE","Y",3227,23,8,"L",10,1,1,"Y"
"e1ba96cc-dae7-4be8-8976-16b5cbf4be6f",55,"D","M",16022,40055,"N","O",7,"P","P","RET","M","CBU","Y",3204,30,33,"L",10,55,1,"Y"
"df79843a-92b0-40b5-bfaf-7b469ae6239e",39,"B","M",7758,7758,"N","S",1,"C","P","AFF","L","BQL","N",776,15,38,"H",10,70,1,"N"
"a1337d3a-9e61-4034-9774-10984bd215d0",42,"B","F",14269,35673,"Y","M",4,"C","P","WHT","M","CBA","N",2461,6,0,"L",10,95,1,"Y"
"30786ac2-2889-4f4b-b83a-fd34e91f560a",21,"B","M",4938,10864,"N","S",0,"C","P","MAN","L","NAB","N",398,5,49,"H",10,86,1,"N"
"35143001-4b8a-43a4-b93e-39992b4378a4",50,"P","M",14004,14004,"Y","O",1,"P","P","HAC","M","CUA","Y",2801,20,40,"M",10,40,1,"Y"
"560b0928-073c-4b51-a02c-6a9cdfd8878d",60,"D","F",18975,18975,"Y","S",1,"P","P","HOS","H","RAMS","Y",0,16,40,"H",10,42,0,"N"
"818b20cf-fddb-4660-880e-26af4af18abc",37,"B","F",9727,24318,"N","S",8,"C","M","WHT","M","MTP","Y",0,13,7,"H",10,59,0,"N"
"2647e266-f687-42ee-b056-be72cd34ef87",51,"H","M",6322,13908,"Y","M",1,"P","S","FSS","L","CMC","N",2035,28,29,"H",10,76,1,"N"
"9b9c9dd8-c645-47e6-86bc-484c8ef86f6a",50,"B","M",16604,16604,"Y","O",4,"C","S","EDU","H","ANZ","Y",2491,18,2,"L",10,5,1,"Y"
"c947cdf2-7548-4c73-bf9a-2fc5cdecd9e8",24,"M","F",6113,12226,"N","O",3,"C","M","WHT","L","MBL","N",0,6,55,"H",0,91,0,"N"
"45ef84b9-57ef-411e-8706-0f69807995f3",21,"H","M",5182,11400,"N","S",5,"P","S","HAC","L","MBL","N",417,24,2,"H",10,22,1,"N"
"0c4ce16b-0b54-48de-b0da-0b87a49ee494",40,"D","M",14800,14800,"N","S",1,"C","M","EDU","M","ING","N",740,15,32,"H",10,66,1,"N"
"d93bf2c9-a9ed-432b-a071-c8f118eba06e",51,"H","F",11614,11614,"Y","S",1,"C","S","MAN","M","WST","Y",0,14,44,"H",0,34,0,"N"
"cbb2ac98-9960-4324-a431-baf8b45cd5e3",44,"H","M",11636,11636,"Y","S",1,"P","M","IMT","M","HPL","Y",2327,17,50,"L",10,47,1,"Y"
"e2cb9620-e976-4713-94fa-964cdd8272fd",20,"D","F",4859,9718,"N","M",4,"C","S","TNT","L","NAB","N",559,21,19,"H",10,54,1,"N"
"46cf905a-9e9d-4a3f-8a9b-b9cc8b3330dc",36,"B","M",8683,19103,"N","M",0,"C","S","WHT","M","FLY","N",699,26,38,"H",10,44,1,"N"
"d70b9636-8b0e-4442-85fa-a86ee1fe9ff1",37,"P","M",8275,8275,"N","O",0,"C","M","FSS","L","AMEX","N",828,30,39,"M",10,23,1,"N"
"01491a79-2b03-4a79-ace8-1dc5e2a75ede",51,"P","F",4138,9104,"Y","O",2,"C","M","HOS","M","MTP","N",207,24,10,"H",10,23,1,"N"
"1ab85835-f32d-49de-9156-424ebbae754c",24,"D","M",9398,9398,"N","O",8,"C","S","EGW","M","MEB","N",470,29,46,"H",10,78,1,"N"
"1a5194d9-3643-49de-9486-5078920ed4ac",21,"B","M",4256,4256,"N","S",1,"C","P","TNT","L","HSB","N",213,9,14,"H",10,15,1,"N"
"0f33bbed-37e7-4ba4-863a-6f4a6f01672b",51,"B","F",4329,9524,"N","S",2,"C","P","THR","L","ANZ","N",248,17,46,"H",10,54,1,"N"
"6f982747-84f9-4bb3-ae2c-8891c2e5307c",25,"H","M",5516,5516,"N","S",1,"C","P","IMT","L","WBC","N",0,29,3,"H",0,1,0,"N"
"5358418b-a99a-483d-91b2-7c8c9f9c0c12",28,"M","M",4109,4109,"N","S",1,"P","M","EDU","L","MLC","N",205,15,16,"H",10,50,1,"N"
"396242e8-a66b-4667-ace6-9b4d7baa2555",56,"H","M",12712,22882,"Y","M",3,"C","S","TNT","M","ING","Y",4093,17,57,"L",10,1,1,"Y"
"dbbdc2db-49ee-491c-bd98-055e78a6c60d",26,"D","M",5868,5868,"N","S",1,"P","S","FSS","L","BQL","N",587,8,17,"H",10,6,1,"N"
"f604a719-d5f9-43c2-ab85-256d9d9bc88b",53,"D","F",15423,38558,"Y","O",3,"C","S","RET","M","HSB","Y",3085,23,12,"L",10,90,1,"Y"
"bd989d7c-7ac1-4eba-b033-c757471e9810",20,"M","M",5568,5568,"N","S",1,"C","S","EGW","M","CUA","N",0,27,37,"H",10,74,0,"N"
"cfb89997-76c5-483d-856b-e3c1c6cb7f1b",30,"P","F",8219,20548,"N","O",2,"C","S","EGW","L","AMEX","N",822,23,17,"M",10,74,1,"N"
"8c204619-7bc6-41c4-ac8f-02c36d027ab4",47,"B","F",18608,46520,"Y","M",4,"P","M","IMT","H","VFL","N",4280,3,50,"L",10,100,1,"Y"
"6154d07d-979c-4078-b3a2-df7f58163371",58,"B","M",16544,36397,"Y","M",6,"C","M","TNT","H","BQL","Y",5327,15,60,"L",10,52,1,"Y"
"684fa429-45d9-4c93-9339-7aa9d4298435",46,"M","M",16318,35900,"Y","M",4,"C","M","WHT","H","NAB","Y",5255,5,59,"L",10,32,1,"Y"
"249942b1-2e2d-4b0f-9beb-2394f2d89018",45,"D","M",9828,9828,"Y","S",1,"C","P","HAC","M","CBA","N",491,25,6,"H",10,66,1,"N"
"a50af1ec-abab-4ea5-935a-9ba211f23193",35,"B","F",9137,22843,"N","M",3,"C","P","EDU","M","CTI","Y",1051,4,7,"M",10,44,1,"N"
"f2d03a3a-3fd3-461c-9d05-469a2490a611",45,"H","F",10446,10446,"N","S",1,"P","S","THR","M","ING","Y",2089,5,14,"L",10,51,1,"Y"
"fe0ee6b4-bd2f-4bd5-b64f-70eaac709274",47,"M","M",12377,12377,"Y","S",1,"C","S","MAN","M","BTS","Y",2475,22,25,"L",20,0,1,"Y"
"d694a6b4-3d01-4722-b957-728a87b5cbbb",25,"M","F",5917,11834,"N","O",8,"C","S","RET","L","CSP","N",592,6,32,"H",10,33,1,"N"
"a871169b-e0c6-4e6e-b1cb-ed9c58a4ec05",57,"B","M",16435,41088,"Y","M",5,"C","P","RET","H","HSB","N",5292,30,56,"L",10,98,1,"Y"
"e633995f-d7c3-40d3-82f7-2d941aff5018",24,"H","M",8617,8617,"Y","S",1,"P","M","HOS","M","FLY","N",862,7,5,"M",10,27,1,"N"
"6f660239-c378-45ad-8726-951fb8ac0fb0",23,"P","F",5860,5860,"N","S",1,"P","S","HAC","L","BWA","N",0,11,7,"H",10,42,0,"N"
"17df11f6-787a-4ea7-adde-e1c685034584",45,"B","M",7098,15616,"N","O",7,"C","S","RET","L","BQL","N",355,26,1,"H",10,59,1,"N"
"29f5389b-b0fa-41d3-b068-0329bc38ffe8",44,"M","F",12080,21744,"N","M",4,"C","P","THR","M","PSP","Y",695,26,57,"H",10,77,1,"N"
"ea2af615-6318-4c64-81dc-791e98b55dd2",38,"P","M",7510,18775,"Y","O",2,"C","P","AFF","L","FLY","N",751,25,43,"H",10,51,1,"N"
"9868ed62-3f43-46d3-95af-0912c105707b",60,"B","M",11018,11018,"Y","O",3,"P","S","FSS","M","CSE","Y",1653,18,22,"M",10,86,1,"N"
"abdcc9ba-655a-46c3-ae72-9152bec58878",42,"B","F",13399,13399,"Y","S",1,"C","M","EDU","M","MTP","Y",2680,26,4,"L",10,35,1,"Y"
"0ed57a3c-d719-42e0-a978-dea2cc21a676",36,"D","F",5076,11167,"Y","O",8,"C","M","MAN","L","SUN","N",0,27,43,"H",50,80,0,"N"
"a0fd29f9-4cea-4800-aaf1-0d7b20fc3e18",58,"B","F",14705,36763,"Y","M",7,"C","M","FSS","M","CBU","N",2537,14,1,"L",10,23,1,"Y"
"cfab87f1-e507-46c8-850e-36b68313934f",53,"D","F",19832,49580,"Y","M",8,"P","M","THR","H","WBC","Y",4561,11,50,"L",10,51,1,"Y"
"f4e2af48-ae64-49a7-b406-f9a5df265a5f",60,"P","M",15566,15566,"N","S",1,"P","S","WHT","M","MBL","Y",3113,16,18,"L",10,68,1,"Y"
"40f509a5-dc08-4cba-a4f0-573654b060b0",29,"B","F",4816,4816,"N","S",1,"P","P","IMT","L","HSB","N",241,20,27,"H",10,11,1,"N"
"87c33bf0-8c03-461a-8d82-886bba2b9a0a",57,"B","M",15057,37643,"Y","M",7,"C","S","FSS","H","VFL","N",4848,11,14,"L",10,99,1,"Y"
"0501f522-23c3-486d-b4b3-39a518882bb4",57,"D","M",10904,19627,"N","M",3,"P","M","FSS","H","AMPB","N",6731,25,25,"L",10,1,1,"Y"
"3a055fad-632f-4423-bef4-89c956faba01",38,"D","F",8491,8491,"N","S",1,"C","M","CON","M","ING","N",425,27,25,"H",10,42,1,"N"
"11c8f628-4e37-4881-96cb-23435cf9128e",24,"D","F",6156,6156,"Y","S",1,"C","M","TNT","L","BSA","N",308,14,33,"H",10,44,1,"N"
"a78b7cdd-9f94-4599-9a5e-fd2c1a02aad4",59,"B","F",10516,10516,"Y","S",1,"C","S","EGW","M","CSE","N",2103,15,3,"L",10,83,1,"Y"
"bd50e4d2-daae-4000-86ac-fdd67ca1eca8",31,"M","M",7608,7608,"N","O",4,"P","P","EDU","H","CBA","N",761,15,14,"H",10,28,1,"N"
"fbac88ae-9a63-4076-958a-2a92a55d480a",54,"M","F",10374,25935,"Y","M",4,"C","P","THR","M","ANZ","Y",2386,8,39,"L",10,81,1,"Y"
"2d4a9e83-7c0d-4812-82b2-493b0156f1f5",21,"B","F",4764,4764,"N","S",1,"C","M","WHT","L","IOOF","N",238,24,16,"H",20,71,1,"N"
"2872e685-18cb-470c-b198-ceac256f801e",40,"B","M",9524,9524,"N","S",1,"C","S","EGW","M","MEB","N",476,28,35,"L",10,89,1,"N"
"00d7479d-071e-426c-8b48-48ad08352782",57,"D","M",16942,16942,"N","S",1,"P","M","FSS","H","PIB","Y",3388,23,56,"L",10,65,1,"N"
"f96a72b0-9dd0-474e-b44f-c2360991fdf8",35,"H","M",9964,24910,"N","M",6,"P","P","IMT","M","IOOF","Y",2295,20,2,"L",10,72,1,"Y"
"490936d6-96cd-4ccb-ab5c-7125944f6e90",59,"P","O",12830,12830,"Y","M",5,"C","M","IMT","M","AMPB","Y",4101,12,3,"L",10,2,1,"Y"
"6f480196-6e76-4328-a015-bf3dba18ed36",46,"B","M",15144,37860,"Y","M",1,"P","P","THR","H","CTI","Y",4877,19,10,"L",10,20,1,"Y"
"8064d5b5-c947-420d-8da2-4eef0e262248",41,"B","F",10208,10208,"Y","S",1,"P","P","WHT","M","UBS","N",510,16,32,"H",10,55,1,"N"
"b2f14fb2-693c-4391-bea6-50e6ab8b834c",53,"P","F",17935,17935,"Y","S",1,"C","S","EDU","L","FLY","Y",3587,27,12,"L",10,83,1,"Y"
"2455932f-ae10-4e3a-b812-80bd8ba709c7",46,"D","F",7620,7620,"N","S",1,"C","P","EGW","L","SUN","Y",1524,24,13,"M",10,32,1,"N"
"3bd4876a-cc68-4162-a47d-2c5ac7b03a10",54,"B","M",19070,19070,"Y","S",1,"P","P","MAN","H","AMPB","Y",3814,13,52,"L",10,47,1,"Y"
"21c80dab-feea-44ba-8898-932e7d6950a2",59,"P","M",7322,7322,"Y","O",5,"C","S","HAC","L","ING","N",1464,6,59,"M",10,72,1,"N"
"a877385e-3976-4620-9cf6-df40b8333386",34,"B","F",8629,8629,"N","S",1,"P","M","HAC","H","MBL","Y",863,28,32,"M",10,84,1,"N"
"9e1bec55-1da5-470b-b003-83a6cad5227d",49,"B","F",14977,37443,"Y","M",5,"P","M","MAN","M","BOM","Y",2584,14,55,"L",10,31,1,"Y"
"b436c166-613e-42ba-ad19-4ed48696b656",41,"D","F",13290,33225,"Y","M",7,"C","S","RET","L","BBL","Y",3057,12,12,"L",10,68,1,"Y"
"bfe50815-672e-4cd9-92b2-a8ce35ea60c3",33,"P","F",6856,6856,"N","S",1,"P","S","HOS","M","MEB","N",686,4,25,"H",10,17,1,"N"
"1816dd6a-ff27-40ae-865b-5405041b3f11",38,"M","F",4545,9999,"Y","O",5,"C","P","CON","L","FMC","N",227,8,14,"H",10,19,1,"N"
"76d35109-1017-4985-9e33-10dc623645e9",57,"M","F",17429,43573,"Y","M",7,"P","P","IMT","H","RAMS","Y",4009,23,34,"L",10,89,1,"Y"
"ddbd15e1-cb57-47ee-91b2-9bba2a16533a",29,"M","M",5046,10092,"Y","M",3,"P","S","RET","L","CBU","N",813,6,40,"M",10,89,1,"N"
"43c6452c-65d4-4cb5-8c35-3c23b11dbae0",46,"H","M",11540,11540,"Y","S",1,"C","S","IMT","M","CSE","Y",2308,24,10,"M",10,26,1,"Y"
"c347ff23-f565-453d-88cb-8813949e1a01",33,"D","M",8219,8219,"N","S",1,"C","S","AFF","L","WBC","N",822,30,59,"M",10,4,1,"N"
"22249983-2369-4409-9542-00b30a59ade6",59,"P","F",8521,18746,"N","M",1,"C","S","HAC","M","BOM","Y",1960,24,6,"M",10,47,1,"N"
"5e62f98b-168e-48e7-aafd-48cd2e1507a5",34,"M","F",8368,14226,"N","O",6,"P","M","RET","M","CTI","N",418,22,26,"H",10,10,1,"N"
"a3eb581b-a888-45cf-abed-0f20fa1b3507",50,"B","F",10857,27143,"Y","O",8,"P","M","IMT","L","IOOF","N",2171,13,6,"L",10,46,1,"Y"
"93737f4c-ce16-49c7-aa21-3de3923f5597",21,"B","M",5116,10232,"N","S",7,"C","S","EGW","L","BSA","N",0,18,36,"H",10,76,0,"N"
"87c63ca5-d722-4b7a-82a0-8303034cb636",33,"B","M",9441,9441,"N","O",0,"C","P","HOS","M","AMPS","N",472,19,20,"H",10,0,1,"N"
"3a970b45-5d00-46fe-80c7-8e3d01516854",20,"P","M",5254,11559,"N","S",4,"C","M","IMT","L","CSE","N",423,18,48,"H",10,40,1,"N"
"5782d0ef-d6ac-40df-80a4-74e1807ffef0",24,"M","M",5743,12635,"N","S",6,"C","P","TNT","L","BWA","N",462,8,60,"H",10,42,1,"N"
"58b4b28d-888c-4d43-9b4b-5e0b6214e7e0",60,"B","M",14105,14105,"Y","O",0,"P","M","MAN","M","SUN","Y",2821,9,43,"L",10,23,1,"Y"
"b2a1cb28-41c5-40c4-8c72-81fb167748e7",49,"M","M",14434,14434,"Y","S",1,"C","M","IMT","M","BOM","Y",2887,4,18,"L",10,3,1,"Y"
"d8645e7d-b538-4b0d-8631-b8ffe36a5160",26,"D","M",4163,4163,"N","O",4,"P","S","EDU","L","CBU","N",416,22,36,"H",10,86,1,"N"
"099fb638-979d-43d4-a486-bffb0ebecfb3",24,"M","M",19367,19367,"N","S",1,"C","S","EGW","H","ING","N",968,13,50,"H",10,0,1,"N"
"77bac949-c46a-425b-ba0e-21b996f857b0",35,"M","M",8515,12773,"N","M",4,"C","P","THR","M","ANZ","N",686,29,45,"H",10,16,1,"N"
"013d3823-0691-4426-bfa3-061c14307e6c",59,"M","F",18729,33712,"Y","M",4,"P","P","FSS","H","HAS","Y",4308,8,55,"L",10,80,1,"Y"
"22f6d2e1-1110-4aa5-9956-c1efbb7a5fbd",24,"D","M",6236,6236,"Y","O",5,"C","P","RET","L","BSA","N",0,11,22,"H",0,52,0,"N"
"f06d622a-4b24-464d-9c1a-a4da33119866",57,"B","M",13387,33468,"N","O",6,"C","S","HOS","M","RAMS","Y",2677,20,16,"L",10,65,1,"Y"
"f7f6eb01-1dcf-41da-81ab-b45854e80096",39,"H","F",8318,8318,"N","O",5,"C","M","THR","M","UBS","N",832,18,21,"M",10,12,1,"N"
"de0751c1-d6c1-4f42-b86a-2d91562bec53",43,"H","M",19192,47980,"Y","M",6,"P","P","THR","H","CSP","Y",6179,13,1,"L",10,11,1,"Y"
"47869d31-1c21-428c-82fb-98db7f74b104",48,"D","M",19250,34650,"Y","M",1,"P","S","IMT","H","IOOF","Y",6199,30,6,"L",10,92,1,"Y"
"5977a613-b2b7-4ec4-8092-8b2e94eca966",38,"P","F",9157,15567,"N","O",8,"P","S","HOS","M","FLY","N",458,5,34,"H",10,21,1,"N"
"9a662bdf-4762-4e40-b61e-3e594e0e29c2",47,"B","M",12373,12373,"Y","O",6,"P","M","HOS","M","SUN","N",1856,14,55,"M",50,51,1,"N"
"25a85385-9183-4194-9196-6b423369810a",50,"D","M",6381,6381,"N","O",5,"C","S","IMT","L","MEB","N",1276,25,56,"M",10,25,1,"N"
"1322bf7d-5c55-4a8a-9758-00cddcfc6219",60,"D","F",7882,7882,"Y","S",1,"C","M","AFF","L","WST","N",1576,27,42,"M",10,90,5,"N"
"0742c19b-12ac-45c2-9382-32de6f8d373d",45,"H","M",17896,17896,"Y","S",1,"C","S","AFF","L","MTP","N",895,15,21,"H",10,61,1,"N"
"68162182-281f-4bc7-baca-2bb576d9565a",48,"H","F",14267,14267,"Y","S",1,"P","M","THR","M","MEB","Y",2853,14,27,"L",50,28,1,"Y"
"cd0e3a99-0c74-4c60-97ed-8b8917403eb9",33,"M","F",7231,7231,"N","S",1,"C","M","FSS","L","CMC","N",723,12,30,"H",10,51,1,"N"
"b98c5043-97a4-47f4-8cdd-f33a81d01ade",24,"P","M",4507,4507,"N","S",1,"C","P","CON","M","MBL","N",451,5,20,"H",10,80,1,"N"
"316fd0c9-ae0b-46b5-96e6-1bbd7368a6f6",23,"B","M",4048,4048,"N","S",1,"C","P","FSS","L","BOM","N",502,10,8,"H",10,85,1,"N"
