"C_ID","C_TotalVoluntarySuperContribution","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_SalarySacrifice","C_FinancialLiteracy","C_PersonalFinancialAdvice","App_SatisfactionRating","App_Tenure","App_AverageDailySessionTime","App_ShowTutorial"
"49ae3c14-ccb6-4cf6-8f70-4ea5755b6f03",1852,49,"M","M",9261,"Y","S",1,"P","Y","H","Y","H",18,4,"Y"
"51aac09a-fd84-4bba-96cc-46924906f321",133,20,"H","F",3445,"N","O",2,"P","N","L","N","L",23,29,"N"
"6fb2957c-17dd-4de0-9efb-017e8fc1812b",1885,48,"B","M",9423,"Y","O",1,"P","N","H","Y","H",16,1,"Y"
"7618fde9-c81c-4741-94dc-ecde79517efb",678,33,"M","M",6393,"N","M",0,"C","N","L","N","L",7,1,"N"
"04e3c3f7-2706-4b35-827a-6351bf013dfb",379,23,"D","M",3786,"Y","M",4,"C","N","M","Y","L",16,25,"N"
"204170cd-2295-4edf-917f-48596a7e7aeb",218,22,"B","M",4005,"Y","S",6,"C","N","L","Y","L",7,49,"N"
"4a67ba23-a2e2-4133-aae3-fc6c20c354e5",274,27,"B","M",3921,"N","S",1,"C","N","L","N","L",14,48,"N"
"ace6d7db-4faf-4927-baac-3e4551d185b1",1786,44,"B","F",8930,"Y","S",1,"P","Y","H","N","L",24,46,"Y"
"f735ff44-9a47-4a48-ae82-7a1d2d2d927c",2883,47,"H","F",14414,"Y","M",1,"P","Y","H","Y","L",29,24,"Y"
"c2a182ca-797e-4b89-8a78-50f461781a75",1052,31,"D","M",5258,"N","M",5,"C","Y","M","N","H",4,4,"N"
"2c3d4c70-f1af-4753-abe6-877045b95f7a",3186,58,"M","M",15929,"Y","M",8,"P","Y","H","Y","H",22,13,"Y"
"35b7b7b0-f7c1-463b-a5f9-68fde701ec4f",3040,55,"D","M",15200,"Y","M",1,"P","N","H","Y","H",29,2,"Y"
"9c1da5c5-2232-4f82-b55e-5de865cdac6a",1588,44,"B","F",8698,"Y","O",1,"C","N","M","N","L",18,1,"N"
"98456fcc-0dcb-44f4-8f94-b6ba554812aa",477,37,"B","F",7483,"N","O",4,"P","N","L","N","L",3,35,"N"
"ff9db117-129a-42fd-8837-97d466b6c4b6",504,37,"B","M",2519,"N","S",1,"C","Y","M","N","H",30,45,"N"
"14cf15cf-d264-442c-859c-7a9323445550",278,43,"B","M",4628,"Y","O",7,"C","N","L","N","L",16,49,"N"
"6ac821b0-cd6b-476e-b368-a8e2b6989ab7",2059,59,"P","F",10294,"Y","M",5,"P","Y","H","Y","H",28,31,"Y"
"ba6e08fe-8ec7-4743-8e98-0a023ce4964e",943,33,"D","F",6224,"N","M",8,"C","Y","H","N","L",3,34,"N"
"067e7fce-21ad-45c9-bb37-3aefbd71b342",1103,60,"D","M",5516,"N","S",1,"P","N","H","N","H",16,7,"N"
"c46987ee-3a5d-4b37-87d2-7c58ec856c1f",385,24,"B","M",3846,"N","M",1,"P","Y","L","N","L",20,22,"N"
"4a590e71-a762-47c7-b423-9ef697995e73",3342,53,"D","M",16710,"Y","M",6,"C","Y","H","Y","H",18,51,"Y"
"c19d2656-2bca-4994-848e-f0ad471199ec",285,22,"P","M",3828,"N","S",1,"C","Y","H","N","H",13,26,"N"
"509fc3c1-c204-430e-aa86-603527c06df2",1867,53,"H","F",9333,"Y","O",1,"C","Y","H","Y","H",30,24,"Y"
"6962af88-aefe-4081-9bc0-7cd6471d8705",232,27,"M","M",3317,"N","S",1,"C","N","L","N","L",23,38,"N"
"2cffd752-5f70-41ca-80e2-e992d1b87979",90,44,"D","F",9540,"N","S",1,"C","N","L","N","L",9,52,"N"
"0ac4ad3a-a133-4258-9a46-8c4e7ced9055",49,35,"M","M",10127,"Y","S",1,"C","N","H","Y","L",14,26,"N"
"93a2e17c-6909-4eef-8bab-9db6a80f3a70",256,24,"B","F",3067,"N","M",5,"P","Y","L","N","L",25,36,"N"
"c84df35e-dcdc-4292-bf9b-ef202751b456",2673,47,"H","F",13364,"Y","O",7,"P","Y","M","Y","L",23,35,"Y"
"95386d00-c81a-4ef0-82c9-9794eabd1e95",576,29,"D","M",4210,"N","O",0,"C","N","L","N","L",17,27,"N"
"99f01b93-3f30-4f43-acdc-15e266461cab",2406,42,"B","F",13020,"Y","S",1,"P","N","H","N","H",17,54,"Y"
"b9597381-19e7-4626-8fa7-1562ed3aad00",3175,54,"B","M",15873,"Y","S",1,"P","Y","M","Y","H",6,27,"Y"
"cd21d0e2-7fe8-42a4-a955-3ebf147e12d2",2583,41,"H","M",12914,"Y","S",1,"P","Y","M","Y","H",27,31,"Y"
"0579c3a1-f044-4f22-85bf-4edf37dc39cd",939,60,"H","M",4695,"Y","S",1,"P","N","M","Y","L",27,24,"N"
"118a5722-cccb-4184-9388-71be89c37fe5",1036,58,"H","F",5179,"Y","O",4,"C","N","M","N","L",14,24,"N"
"613fd5cf-1157-4205-b418-2939d1e45283",2548,55,"D","M",12739,"Y","O",0,"C","Y","H","Y","H",29,42,"Y"
"cbec9b28-a810-46f7-b5d7-4f22d76ab748",1002,35,"M","F",6727,"N","M",0,"C","Y","L","N","L",11,10,"N"
"8286da5f-ea16-4527-9e0e-f6c45c67ffcc",478,31,"B","M",7123,"N","S",1,"C","N","L","N","L",7,16,"N"
"b41241fe-2683-4dea-817e-a4b72926748e",3003,49,"D","M",15013,"Y","O",5,"P","N","H","Y","H",30,48,"Y"
"b017a908-4e24-4667-9f43-4926e8442b3b",499,24,"P","M",6881,"N","O",4,"P","Y","L","Y","H",30,24,"N"
"d258d631-bb14-4794-979d-13bdf6c572ab",626,33,"M","M",4755,"N","O",1,"C","N","L","N","L",2,28,"N"
"8790d002-9c5b-4cac-a1ec-32fb4a700828",2501,54,"B","M",12504,"Y","S",1,"C","Y","H","Y","H",3,19,"Y"
"0e74a904-b322-4756-becd-914b811811b7",449,34,"D","F",4155,"Y","S",6,"C","N","L","Y","L",15,41,"N"
"39e4bb22-072c-4c1b-8ad6-f2270c169f5c",1866,56,"H","F",9331,"Y","O",0,"C","N","H","Y","H",17,6,"Y"
"7bf2b92a-f987-4f94-bc88-2ee77fb53ed8",897,42,"M","F",14554,"Y","O",4,"P","Y","L","N","L",18,0,"N"
"a42ffda2-5870-49f1-96e3-ec42492de258",773,38,"B","F",6103,"N","S",1,"P","Y","L","N","H",6,12,"N"
"dee4e5e8-4946-4c07-b611-c62c3242ec43",928,34,"M","F",7106,"Y","S",1,"C","Y","M","Y","L",23,54,"N"
"ad6d52c2-0a46-42c9-9563-cbc1a939e3c6",590,27,"H","F",4223,"N","O",0,"P","Y","L","N","H",20,31,"N"
"4277895f-aed9-4d5a-9485-bbcac7fc3983",759,44,"D","M",12476,"Y","O",2,"P","Y","L","N","L",5,12,"N"
"3de28c04-5eb3-4654-8696-90c804e29abf",54,36,"H","M",5641,"N","S",5,"P","N","L","N","L",20,48,"N"
"530cbdb3-b04f-468a-aa2a-fefeee1551b7",2773,52,"P","F",13866,"Y","S",1,"P","Y","H","Y","H",12,49,"Y"
"bc734349-9316-4396-b0d6-e2299e17add1",1976,51,"D","F",9882,"Y","O",8,"C","Y","L","Y","L",7,40,"Y"
"566ae8c7-f1ab-4d46-b8f8-ddfd5189cafa",344,33,"M","F",5227,"N","S",1,"C","N","L","N","L",13,12,"N"
"8235b4f2-27b3-4816-b74d-daec5c41d032",2055,46,"D","M",10274,"Y","O",4,"C","Y","H","Y","H",7,14,"Y"
"0aa009d1-7dcb-40a1-9b74-88ed582a7958",753,37,"M","F",10478,"Y","M",6,"C","N","M","N","L",12,0,"N"
"bb0a1711-fed0-46f0-a677-c206a113d185",2204,52,"P","M",11020,"Y","S",1,"P","Y","H","Y","H",7,33,"Y"
"1ab85835-f32d-49de-9156-424ebbae754c",235,24,"D","M",4557,"Y","O",8,"C","N","L","Y","L",29,46,"N"
"31f64239-765a-4400-8f07-0da4e4f7568c",3008,57,"P","F",15041,"Y","O",7,"P","Y","H","Y","H",7,20,"Y"
"045acf9f-c80b-4947-ad34-6ceab815e9e3",96,44,"D","M",5256,"Y","S",4,"C","N","M","N","L",2,22,"N"
"94927dcd-d0bd-4bd0-b79c-3986c9a33e1d",2498,42,"M","M",13517,"Y","O",7,"P","Y","H","N","H",26,37,"Y"
"6901fc90-6d66-44dc-bc38-a314cd16747d",127,24,"D","F",3506,"N","S",1,"C","N","L","N","L",5,1,"N"
"a2868e41-ba92-4603-82d4-ddbe56e600cc",351,34,"B","F",5376,"N","S",1,"P","Y","L","N","H",22,41,"N"
"389e3a64-5055-4d43-9ff1-ada188a522b3",85,43,"P","F",10631,"N","S",5,"C","N","L","N","L",5,11,"N"
"49f07542-acf3-47e3-b409-6086b1318479",437,34,"H","M",6696,"N","S",1,"P","N","L","N","L",30,13,"N"
"bd9940b0-78ff-4308-bbdc-b4d810866215",1527,36,"D","M",7633,"N","M",7,"C","Y","L","Y","L",19,10,"N"
"52380069-d043-4821-bab2-70fc8f228d1d",17,22,"H","M",3807,"N","S",1,"C","N","L","N","L",19,21,"N"
"5aef1643-a194-46e5-8791-0e818a4f5d77",193,24,"B","M",3305,"N","S",4,"C","N","L","N","L",5,31,"N"
"09ef1c04-5b3d-4a64-ac3c-0cedfef65fef",440,25,"M","F",7354,"Y","S",1,"C","N","H","N","L",25,42,"N"
"bf26972b-091a-4f69-8a66-8892c03c105e",3158,44,"P","M",15792,"Y","O",2,"C","N","L","Y","H",22,6,"Y"
"b9966446-7208-4f72-a95b-99367861b339",1470,34,"P","M",7350,"N","M",6,"P","Y","L","Y","H",5,13,"N"
"491f009b-bace-43ef-88ab-613cca7f0325",580,37,"D","M",5644,"N","M",0,"P","N","L","N","L",6,13,"N"
"e40b4066-e996-424a-913e-c1930c10e955",953,38,"B","F",4968,"N","M",5,"C","Y","L","N","L",23,9,"N"
"ed1bfbdd-258f-4775-8016-f5f50d032b4d",3158,60,"B","M",15789,"N","O",6,"P","Y","H","Y","H",9,34,"Y"
"c2445cbd-ae4b-42a8-90bf-3535d43bfcc7",3037,45,"D","F",15185,"Y","M",4,"P","Y","L","Y","L",27,21,"Y"
"0a99190e-a09c-4b65-a606-ba099f5d3d17",225,31,"B","M",5707,"Y","S",1,"C","N","L","Y","L",13,28,"N"
"f137ea31-12df-4721-8b3b-4a654b297143",2422,42,"H","M",12108,"Y","S",1,"P","Y","M","Y","L",5,8,"Y"
"ef2b6824-80d9-4733-af1a-67def5579a3e",323,24,"P","F",3223,"Y","M",5,"C","Y","M","N","L",8,40,"N"
"4322af03-56ed-4db7-a411-b334a00b0105",913,40,"P","M",9083,"Y","M",7,"C","N","L","N","L",10,11,"N"
"030944e9-0b08-497b-a4ac-f3bc64c0b87b",1371,54,"D","F",6855,"N","M",6,"P","N","H","N","H",22,50,"N"
"ee2657cb-ca02-4056-be2a-260203717a57",811,31,"M","M",4552,"N","O",3,"C","Y","M","N","H",21,23,"N"
"bdf3e1d0-71ac-4ccb-85a9-1bba05319f7e",46,46,"B","F",8710,"Y","S",0,"P","N","H","Y","H",5,13,"N"
"0b339f47-09e1-4c43-84fd-edd8de2f4ffa",757,44,"M","M",4327,"Y","M",6,"C","N","M","N","L",2,26,"N"
"1bdcc6ad-aeec-4e8a-8082-c4b67ce7126f",433,41,"D","F",6215,"Y","O",7,"C","N","L","N","L",27,8,"N"
"02a01f5f-8b00-47fb-b0b0-f2b347b8db79",377,28,"H","F",4082,"N","S",1,"C","N","M","N","L",5,47,"N"
"0c326c8c-9f7c-4cce-8fa3-5526c891a0d1",135,24,"B","M",3895,"Y","S",1,"C","N","L","Y","L",3,33,"N"
"d5a9160a-3c9d-4d44-94b1-41dc0295d763",76,54,"M","F",15178,"Y","O",8,"C","N","H","Y","H",29,10,"N"
"1e6207b6-cc11-4257-a7b1-93b8421160e9",378,45,"H","M",4815,"Y","O",2,"C","N","L","N","L",22,0,"N"
"fac83215-30a3-47dc-865b-66b61ea2cd29",73,29,"H","F",1581,"N","S",1,"C","N","L","N","H",17,3,"N"
"a78b7cdd-9f94-4599-9a5e-fd2c1a02aad4",1862,59,"B","F",9311,"Y","S",1,"P","Y","H","N","H",15,3,"Y"
"d8542955-ae8e-49f1-b64d-96faab9b5eb3",30,24,"P","M",3540,"N","S",1,"C","N","L","N","L",11,54,"N"
"19040ae3-b208-4759-a599-171be53436f6",90,48,"H","M",4354,"Y","S",1,"C","N","L","N","L",19,54,"N"
"de0751c1-d6c1-4f42-b86a-2d91562bec53",3135,43,"H","M",15675,"Y","M",6,"P","N","H","Y","H",13,1,"Y"
"b3c34d64-0dd8-4584-9348-7082084d66a2",61,55,"H","F",16499,"Y","O",7,"P","N","L","Y","L",13,2,"N"
"89aec67d-1b30-45a4-a3fb-071638925997",2662,59,"P","M",13311,"Y","M",0,"C","Y","H","Y","H",9,59,"Y"
"e49bb8ce-e7b7-4dda-beed-d9ac796d69bd",182,22,"D","M",1813,"N","M",7,"C","N","L","N","L",5,21,"N"
"db5ab0ee-fe83-4236-889c-43d916bdf620",2309,51,"B","F",11547,"N","M",8,"P","N","M","Y","H",2,13,"Y"
"5f08a964-6b45-4b03-b645-66855604a7f9",39,21,"B","F",2939,"N","S",4,"P","N","L","N","L",25,42,"N"
"9ca319aa-21f0-4b57-9889-1dffcb2c3645",218,23,"H","F",2971,"N","O",1,"C","N","L","N","L",17,14,"N"
"d76fb64b-7186-428a-8e81-dba255aca806",100,46,"D","F",13369,"Y","O",4,"C","N","M","Y","H",16,3,"N"
"13f38a94-9a61-44fc-b23c-0c9266de8a14",606,35,"P","F",5477,"Y","S",1,"C","N","L","N","L",9,20,"N"
"b520f911-ea92-474b-b22d-59c9f40a6086",94,55,"P","M",16920,"Y","O",5,"P","N","L","Y","H",20,11,"N"
"e966a4f4-42bb-49b7-a33a-6f2fb6a4f42e",247,22,"H","M",2463,"N","O",5,"C","N","L","N","H",28,7,"N"
"a4c45791-555e-44ff-8a65-9d5d1f311431",210,22,"H","F",2809,"N","O",3,"C","N","L","N","H",7,55,"N"
"9bfb9a75-4018-47b0-87bf-99f3f0190049",421,33,"B","F",6388,"N","O",8,"P","Y","L","N","L",24,13,"N"
"37d83ef9-aaa6-4206-918d-21be7e5e1f5d",116,24,"D","M",3190,"N","S",1,"C","Y","L","N","L",3,58,"N"
"011a0b71-05cc-461a-aecd-c68eee40d6eb",1032,25,"M","M",10321,"Y","O",4,"P","Y","M","Y","H",16,19,"N"
"f91c5440-cc7e-4a49-a29d-772a402d1b01",782,33,"P","F",5174,"N","O",3,"C","N","M","N","H",8,3,"N"
"e9267efc-b82e-4e80-be76-902ab7389133",1962,50,"M","F",9809,"Y","S",1,"P","Y","M","Y","H",16,12,"Y"
"b98c5043-97a4-47f4-8cdd-f33a81d01ade",226,24,"P","M",3110,"N","S",1,"C","N","M","N","H",5,20,"N"
"445d3e0b-73e2-49d2-bf7d-7b7e973af210",2412,58,"M","M",12061,"Y","M",2,"P","Y","H","Y","H",4,35,"Y"
"8ab4f922-35ae-408b-952c-f39b1ae3d403",2572,58,"P","M",12860,"Y","M",2,"C","N","H","Y","H",9,24,"Y"
"52fbd13d-ec13-4aee-aab4-d2925a944361",621,34,"H","M",5915,"N","M",1,"C","N","L","N","L",28,33,"N"
"ad791e3b-8638-40b4-b7c6-abe3922a3406",66,31,"M","F",5693,"N","S",6,"C","N","L","N","H",21,17,"N"
"6641908d-4e68-4763-bb1a-6d96acbac095",581,38,"D","M",5703,"N","M",7,"C","N","L","N","L",25,9,"N"
"8e8d2e69-a3fe-4284-8820-d5fb5c73597a",360,30,"D","F",5320,"N","S",1,"C","Y","L","N","L",21,56,"N"
"f39f5580-3f94-4470-b290-e21586a982b9",35,48,"B","M",9670,"Y","S",1,"C","N","M","Y","H",19,37,"N"
"94d7fec4-6ba4-4dc5-ae85-162f2cbcb0fa",339,30,"D","M",5000,"N","O",7,"P","Y","L","N","L",15,7,"N"
"cc4b38f0-a673-411f-8a6d-922261767e04",2797,46,"D","M",13984,"Y","M",8,"P","N","M","Y","H",17,60,"Y"
"5882ac4b-4884-4213-9ecd-f7e541931790",159,21,"D","F",3655,"N","S",6,"C","N","L","N","L",13,8,"N"
"2b0df942-92c5-45bf-93a8-177a805aa053",768,39,"H","M",7591,"N","M",3,"C","N","L","N","L",9,5,"N"
"7abea98d-a580-41a4-b1ef-3bfa6c30047d",320,31,"M","M",4766,"N","S",1,"P","Y","L","N","L",15,21,"N"
"0a1f9088-7e46-4041-8d77-ba4e0a1f5a3d",24,23,"M","O",9280,"Y","O",3,"C","N","M","N","L",6,10,"N"
"06e1aa2b-a936-4c13-8ee6-b375089af3d6",897,27,"H","M",4486,"Y","M",3,"C","N","L","N","L",24,19,"N"
"44670ae4-fe72-4ead-aec6-e7c0a7b11843",2081,54,"D","M",10403,"Y","O",1,"P","N","H","Y","H",8,41,"Y"
"7948c364-f67c-4392-beb7-2883fd97dee2",136,21,"H","F",3120,"N","S",2,"C","Y","L","N","L",10,25,"N"
"211a08c8-6ce2-4729-9714-02f9aad44415",1107,50,"P","F",5534,"Y","O",5,"P","N","M","N","L",15,23,"N"
"0db8d676-e8a0-459d-b517-2affa5c3dc75",386,24,"D","F",4573,"Y","O",5,"C","N","L","Y","L",4,50,"N"
"81966f26-7a0b-4913-827a-60a5cf61a5b0",84,60,"M","M",16881,"Y","S",2,"P","N","L","N","L",25,28,"N"
"ad0a604b-b7ef-4b56-8a8b-cb295e8a2190",642,24,"M","M",6419,"N","M",1,"P","N","M","Y","H",23,44,"N"
"f2d191f5-c309-4eac-b926-fd498a9bffbf",418,28,"H","F",2091,"N","M",3,"C","Y","L","N","H",26,12,"N"
"7118ebdd-36fa-4e48-be5e-840c9cbd9283",452,37,"H","F",7082,"N","S",1,"C","N","L","N","L",17,51,"N"
"e89801a0-8d1a-4f15-8815-24594728d0e6",2355,50,"B","M",11776,"N","S",1,"P","Y","M","Y","H",29,46,"Y"
"56fab97e-ee87-49ee-8cb2-bc8151032981",69,59,"M","F",12681,"Y","S",2,"P","N","L","N","L",24,51,"N"
"b5941ad6-1976-4227-b7b8-546a1ce5baa7",2837,55,"M","M",14186,"Y","S",1,"C","N","H","Y","H",16,46,"Y"
"731edf6b-5c20-407d-b896-37d3d8830b28",469,35,"D","M",7244,"N","O",5,"P","Y","L","N","L",21,49,"N"
"3284bdae-9641-4c9d-84e5-b46bdc858815",379,30,"B","O",5598,"N","O",5,"C","N","L","N","L",14,32,"N"
"771fb586-ed75-4a97-97af-6b61707999f1",695,44,"D","M",11429,"Y","S",1,"C","N","L","N","L",9,35,"N"
"52c87eac-8400-4cab-8a7e-bccad69dc373",419,38,"M","F",6622,"N","S",1,"C","N","L","N","L",17,7,"N"
"50f7a539-24b1-403c-bbe5-d251dd8dd749",3087,50,"M","M",15437,"Y","M",6,"C","Y","H","Y","H",11,3,"Y"
"d89adcbd-73c8-494d-b801-67bf7c04a39d",884,35,"H","F",5939,"N","M",4,"C","Y","L","N","L",16,48,"N"
"7953215f-17a4-4788-bc65-078db6fd89d0",2760,50,"D","F",13800,"Y","S",1,"P","Y","H","Y","H",15,10,"Y"
"71289167-b961-42ed-8208-2a4bd57bcd31",2399,46,"H","F",11996,"Y","S",1,"P","Y","H","Y","H",9,15,"Y"
"79fdc74c-070b-438f-bd45-72f32b4eff18",208,23,"M","M",3511,"N","S",8,"C","Y","L","N","L",24,60,"N"
"24efe384-79f4-4213-bede-972e969d3cbf",1192,60,"D","F",5962,"Y","O",4,"P","N","M","N","L",4,53,"N"
"1920b68a-f7f0-4479-a46c-f0be67394124",353,26,"B","M",5337,"Y","S",2,"C","N","L","N","L",27,19,"N"
"bb44d7e9-96e2-4ded-9f0b-f718116eb131",2930,55,"D","F",14649,"Y","O",3,"P","Y","H","Y","L",5,39,"Y"
"6ab9711b-212d-4e39-bdb5-3255eae8816d",965,44,"H","M",15852,"Y","S",1,"C","N","L","N","L",27,27,"N"
"7b1de0a1-d94a-44c9-9d8e-db792adff8c5",314,24,"D","M",5386,"N","M",1,"P","Y","L","N","L",12,22,"N"
"c631d588-efb3-42cd-b5cf-9e09e6e8b12a",2106,50,"B","M",10528,"Y","S",1,"P","Y","M","Y","L",20,54,"Y"
"01e5a142-2cf6-4937-9a30-15576346bb8b",866,50,"H","F",4332,"Y","S",1,"P","Y","H","N","H",10,15,"N"
"980929aa-4a90-4690-9c93-3c5ecee8f0d1",2974,51,"B","M",14872,"Y","S",1,"C","Y","H","Y","H",29,1,"Y"
"f4e8da82-1a0d-4416-9ae8-0a1731ea567e",719,34,"B","F",4741,"Y","O",0,"C","Y","M","N","H",20,31,"N"
"4ca57185-2624-4a2c-86cf-d089766a3a41",2183,53,"M","F",10915,"Y","O",7,"C","Y","H","Y","H",22,36,"Y"
